IID,QT
1000001,6.61480104993292
1000002,8.30769326065794
1000003,2.69331514443159
1000004,-10.2679943213328
1000005,16.502860813167
1000006,-8.02434457025095
1000007,-10.1255811228276
1000008,-6.31145923079788
1000009,-11.6563545366627
1000010,-17.8401569153512
1000011,-8.54377156098219
1000012,-1.95434769234499
1000013,-8.61804568668712
1000014,-16.1311977242644
1000015,-18.2447880363249
1000016,-9.24737493780509
1000017,1.71971817973805
1000018,-1.25023601265198
1000019,-5.68192120292711
1000020,-29.0961139277912
1000021,-12.8117286694437
1000022,9.02792143602423
1000023,-1.11866146957743
1000024,10.898402060323
1000025,11.9321966529977
1000026,-25.9597489583167
1000027,10.4724948850794
1000028,-17.291144893134
1000029,3.86799895184235
1000030,-11.4076585355612
1000031,-5.88696975017033
1000032,-37.1146948776085
1000033,-1.09148136800521
1000034,-31.6701288561309
1000035,3.57882567275703
1000036,4.14970771394399
1000037,3.85920315315582
1000038,-5.67280998711991
1000039,-4.58442054670141
1000040,5.78451488855729
1000041,-37.2080283963181
1000042,-29.3115232643493
1000043,-5.02067336008844
1000044,-12.6805334749888
1000045,-6.72505867023787
1000046,3.04635794035979
1000047,-10.7283055169252
1000048,14.6549171251792
1000049,-29.5622872749275
1000050,-7.9246710943945
1000051,19.3795127898913
1000052,-17.9518839240991
1000053,8.20095246083849
1000054,-15.0246907230525
1000055,-28.8642159495737
1000056,8.24950998759608
1000057,0.0845664647394884
1000058,13.1918079578868
1000059,15.6705957827433
1000060,-6.35156593897359
1000061,0.255054031059808
1000062,-31.330749252995
1000063,7.69568377720506
1000064,10.1710087811252
1000065,13.5587383561812
1000066,8.05124825236848
1000067,-0.892668079009567
1000068,0.512314726735683
1000069,-13.6240378689641
1000070,16.4631123758581
1000071,-14.7964466905568
1000072,-24.7361557338378
1000073,4.38330399426078
1000074,8.91921774669017
1000075,-1.53382453562223
1000076,-18.3616203675475
1000077,-5.66087773882212
1000078,-11.2265831262294
1000079,-3.60454633683347
1000080,-24.6449599615555
1000081,2.37600959697981
1000082,-13.7589604388601
1000083,21.8397737090017
1000084,-14.0391667868551
1000085,8.58541144780417
1000086,-4.80187465999671
1000087,-17.6735142620438
1000088,-21.3177404885331
1000089,9.64111118672216
1000090,-36.9223424212267
1000091,4.75190422694273
1000092,2.00965838873539
1000093,11.6087436234473
1000094,-5.62299154412512
1000095,1.75849627381189
1000096,-27.3895194052569
1000097,-12.6998073515198
1000098,-9.79418265007921
1000099,-37.972972262652
1000100,-5.8266102654626
1000101,-11.5673778715903
1000102,-20.8158495181136
1000103,-18.8736357463818
1000104,8.48031338408385
1000105,-9.64070033824961
1000106,-19.8485173362578
1000107,-5.501054449723
1000108,4.00848149383023
1000109,11.3069472458336
1000110,-9.72735530480286
